iter	F1	Logloss
672	0.6888102369	0.2880597536
673	0.6888102369	0.2880298226
674	0.6892296525	0.287999254
675	0.6892296525	0.287966083
676	0.6892296525	0.2879364531
677	0.6892296525	0.2878948213
678	0.6886912325	0.2878537981
679	0.6890481807	0.2878330556
680	0.6890481807	0.2878097172
681	0.6891671203	0.2877917226
682	0.6891671203	0.2877721713
683	0.6891671203	0.2877548884
684	0.6891671203	0.2877296295
685	0.6893485756	0.2877017122
686	0.6896489159	0.2876770446
687	0.6894111242	0.2876583424
688	0.6896489159	0.2876430239
689	0.6892296525	0.2876163659
690	0.6892296525	0.2875913997
691	0.6891107078	0.287568363
692	0.6891107078	0.2875463662
693	0.6891107078	0.287478298
694	0.6892296525	0.2874438952
695	0.6892235123	0.2874180069
696	0.6894612734	0.2873914206
697	0.6896426628	0.287369701
698	0.6895801215	0.2873326317
699	0.6895801215	0.2872841848
700	0.6895175916	0.2872602394
701	0.6895801215	0.2872325331
702	0.6895801215	0.2871888688
703	0.6895175916	0.2871680767
704	0.6895738894	0.2871445593
705	0.689448876	0.2871095623
706	0.6895676607	0.2870895864
707	0.6896301668	0.2870135048
708	0.6899864069	0.2869955218
709	0.6899238855	0.2869662413
710	0.6896801667	0.2869412747
711	0.6896176844	0.2869186193
712	0.6897363892	0.2868855806
713	0.689917565	0.2868715822
714	0.6897363892	0.28685457
715	0.6897363892	0.2868316518
716	0.6896801667	0.2868059518
717	0.6899737343	0.2867844826
718	0.6900362319	0.2867659148
719	0.6902735012	0.2867480304
720	0.6901548773	0.286722372
721	0.6901548773	0.2867116085
722	0.6901548773	0.2866810031
723	0.6903360203	0.286665334
724	0.6903360203	0.2866396235
725	0.6905106845	0.286608132
726	0.6905106845	0.2865841763
727	0.6906917783	0.2864989544
728	0.6906357544	0.2864433052
729	0.6906227371	0.2864266212
730	0.6905042093	0.2863962522
731	0.6902045989	0.2863752589
732	0.6903792198	0.2863540822
733	0.6906227371	0.2863054643
734	0.6904417089	0.2862795848
735	0.6906227371	0.2862548838
736	0.6906227371	0.2862321302
737	0.6906227371	0.2861666811
738	0.6907412436	0.2861515909
739	0.6907412436	0.2861353718
740	0.6907412436	0.286118346
741	0.6907412436	0.2860835427
742	0.6906227371	0.2860669882
743	0.6906227371	0.2860272249
744	0.6908597285	0.2860131905
745	0.6907412436	0.285982838
746	0.6907412436	0.2859683947
747	0.6907972129	0.2859446485
748	0.6906722157	0.2859173522
749	0.6906722157	0.2858952164
750	0.6906162338	0.285879002
751	0.6907412436	0.2858544335
752	0.6907972129	0.2858399306
753	0.6907281773	0.2858241288
754	0.6908465991	0.2858088096
755	0.6909649995	0.2857820461
756	0.6910833785	0.2857649886
757	0.6910833785	0.2857409153
758	0.6910833785	0.2857049865
759	0.6907841187	0.2856773539
760	0.690902514	0.2856651147
761	0.691020888	0.2856454447
762	0.691020888	0.285611787
763	0.6910833785	0.2854893803
764	0.6910833785	0.2854761933
765	0.6911458804	0.2854504114
766	0.6915009042	0.2854309096
767	0.6915009042	0.2853735879
768	0.6915009042	0.2853541153
769	0.6915009042	0.2853379868
770	0.6913758814	0.2853074597
771	0.6915566805	0.2851765686
772	0.6917306823	0.2851553555
773	0.6919671094	0.2851334804
774	0.6919671094	0.2851180722
775	0.6922034511	0.285073936
776	0.6921409214	0.2850584984
777	0.6921409214	0.2850490312
778	0.6921409214	0.2850360409
779	0.6921409214	0.2850212345
780	0.6922590552	0.2849905736
781	0.6922590552	0.2849784499
782	0.6922590552	0.284961012
783	0.6922590552	0.284944434
784	0.6922590552	0.2849321002
785	0.6924952587	0.284915865
786	0.6924952587	0.2848970468
787	0.6924952587	0.2848472405
788	0.6924952587	0.2848305761
789	0.6924952587	0.284811072
790	0.6925578035	0.2847609787
791	0.6927868556	0.2847454144
792	0.6927868556	0.2847266577
793	0.6927868556	0.2847125253
794	0.6927868556	0.2846582144
795	0.6927243185	0.284639266
796	0.6928423143	0.2846257302
797	0.6928423143	0.2845991214
798	0.6929602888	0.284578856
799	0.6929602888	0.2845607612
800	0.6929602888	0.2845436269
801	0.693078242	0.2845222697
802	0.6930157011	0.2845074948
803	0.6929531715	0.2844959083
804	0.6929531715	0.2844767275
805	0.6929531715	0.2844601589
806	0.6931889941	0.284438974
807	0.6930085701	0.2844222916
808	0.6930085701	0.2844059783
809	0.6928906532	0.2843888295
810	0.6928906532	0.2843623828
811	0.6930085701	0.2843431302
812	0.693001443	0.2843288732
813	0.6930639488	0.2842879926
814	0.6933549725	0.2842218781
815	0.6937156253	0.2841989644
816	0.6938959517	0.2841814047
817	0.6935978359	0.2841650451
818	0.6938333934	0.2841388835
819	0.6938885884	0.2841063934
820	0.6937635184	0.2840800738
821	0.6938812292	0.2840469507
822	0.6939437635	0.2840361166
823	0.6938187061	0.2840210299
824	0.6938738739	0.2840012026
825	0.6938187061	0.2839837937
826	0.6936384934	0.2839603624
827	0.6937635184	0.2839409581
828	0.6938738739	0.2839263284
829	0.6937561943	0.2839093893
830	0.6937561943	0.28387345
831	0.6937561943	0.2838582183
832	0.6938812292	0.2837736571
833	0.6938187061	0.2837574265
834	0.6938113683	0.2837459346
835	0.6940466541	0.2837261679
836	0.6941642651	0.2836904212
837	0.6942193409	0.2836774377
838	0.6942119003	0.2836374751
839	0.6940943464	0.2836247351
840	0.6944469445	0.2836102829
841	0.6945094509	0.2835911387
842	0.6946894689	0.2835609275
843	0.6946894689	0.2835465131
844	0.6948069481	0.283528804
845	0.6948618735	0.2835040833
846	0.6949869499	0.283485115
847	0.6949793054	0.2834615223
848	0.6950967161	0.2834444283
849	0.6950967161	0.2834301258
850	0.6950967161	0.2834126371
851	0.6952141058	0.2833912185
852	0.6954488217	0.2833752117
853	0.6951515697	0.2833595935
854	0.6953862757	0.2833371112
855	0.6956208974	0.2833204421
856	0.6957381766	0.2832783327
857	0.6956756271	0.2832648824
858	0.6955583528	0.2832518221
859	0.6956756271	0.2832406
860	0.6958554347	0.2831767608
861	0.6956756271	0.2831348041
862	0.6956756271	0.2831011197
863	0.6957303371	0.2830823257
864	0.6960898876	0.283061748
865	0.6960194088	0.2830396473
866	0.6965424338	0.2830169864
867	0.6965424338	0.2829683775
868	0.6966594828	0.2829569169
869	0.6967765107	0.2829432892
870	0.6968935177	0.2828898335
871	0.6969016614	0.282877356
872	0.6972526486	0.2828587198
873	0.6972444125	0.2828400479
874	0.6973613355	0.2827981503
875	0.6973613355	0.2827798961
876	0.6973613355	0.2827643569
877	0.6972361809	0.2827508601
878	0.6973530731	0.2827028421
879	0.6974699444	0.2826870147
880	0.6972361809	0.2826607264
881	0.6974699444	0.2826464221
